Choice,FishCh,PrevChoice,PrevFish,PrevReward,PrevdComp,PrevdRel,IsCompSwitch,IsRelSwitch,Trial
0,0,NaN,NaN,NaN,NaN,NaN,0,0,1
0,1,0,0,0,0.55,0.15,0,0,2
0,1,0,1,0,0.55,0.15,0,0,3
1,3,0,1,0,0.55,0.15,0,0,4
0,2,1,3,0,0.55,0.15,0,0,5
1,3,0,2,0,0.55,0.15,0,0,6
1,2,1,3,0,0.55,0.15,0,0,7
0,3,1,2,1,0.55,0.15,0,0,8
0,1,0,3,1,0.55,0.15,0,0,9
0,1,0,1,0,0.55,0.15,0,0,10
0,1,0,1,1,0.55,0.15,0,0,11
1,2,0,1,0,0.55,0.15,0,0,12
0,2,1,2,0,0.55,0.15,0,0,13
0,2,0,2,0,0.55,0.15,0,0,14
1,2,0,2,0,0.55,0.15,0,0,15
1,2,1,2,1,0.55,0.15,0,0,16
1,2,1,2,0,0.55,0.15,1,0,17
1,2,1,2,1,-0.108982566249368,0.15,0,0,18
1,1,1,2,0,-0.108982566249368,0.15,0,0,19
1,1,1,1,1,-0.108982566249368,0.15,0,0,20
1,1,1,1,0,-0.108982566249368,0.15,0,0,21
1,3,1,1,0,-0.108982566249368,0.15,0,0,22
1,1,1,3,0,-0.108982566249368,0.15,0,0,23
1,2,1,1,0,-0.108982566249368,0.15,0,0,24
0,2,1,2,0,-0.108982566249368,0.15,0,1,25
0,2,0,2,0,-0.108982566249368,-0.15,0,0,26
0,2,0,2,1,-0.108982566249368,-0.15,0,0,27
0,2,0,2,1,-0.108982566249368,-0.15,0,0,28
0,3,0,2,1,-0.108982566249368,-0.15,0,0,29
0,3,0,3,1,-0.108982566249368,-0.15,0,0,30
0,1,0,3,1,-0.108982566249368,-0.15,0,0,31
0,3,0,1,1,-0.108982566249368,-0.15,0,0,32
0,3,0,3,0,-0.108982566249368,-0.15,0,0,33
0,3,0,3,1,-0.108982566249368,-0.15,1,0,34
0,3,0,3,1,-0.55,-0.15,0,0,35
0,3,0,3,1,-0.55,-0.15,0,0,36
0,3,0,3,1,-0.55,-0.15,0,0,37
0,3,0,3,1,-0.55,-0.15,0,0,38
0,3,0,3,1,-0.55,-0.15,0,0,39
0,3,0,3,0,-0.55,-0.15,0,0,40
0,3,0,3,1,-0.55,-0.15,0,0,41
0,3,0,3,1,-0.55,-0.15,0,0,42
0,3,0,3,1,-0.55,-0.15,0,0,43
0,3,0,3,1,-0.55,-0.15,0,0,44
1,1,0,3,0,-0.55,-0.15,0,0,45
